"","cultivar_name","alternate","breeder","color","crop","type","number","release_year","technology"
"265","PAN5R-535R","X30K278W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20184164","20180816","R"
"266","PAN5R-549GT","","Pannar Seed","White","Zea mays","GM","A 20143470","20140822","R"
"267","PAN5R-551GT","","Pannar Seed","White","Zea mays","GM","A 20133280","20130808","R"
"268","PAN5R-554R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20184151","20180816","R"
"269","PAN5R-561R","X30M372W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20194305","20190912","R"
"270","PAN5R-570R","X23H522 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194269","20190912","R"
"271","PAN5R-575R","X18K293W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20194297","20190912","R"
"272","PAN5R-582R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194270","20190912","R"
"273","PAN5R-590R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20184152","20180816","R"
"274","PAN5R-591R","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163772","20160726","R"
"275","PAN5R-627R","","Pannar Seed","White","Zea mays","GM","A 20123131","20120807","R"
"276","PAN5R-653R","","Pannar Seed","White","Zea mays","GM","A 20123133","20120807","R"
"277","PAN5R-693R","PHB 3X35A165WR R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123152","20120807","R"
"278","PAN5R-785BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163773","20160726","BR"
"279","PAN5R-787BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153609","20150716","BR"
"280","PAN5R-789BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153610","20150716","BR"
"281","PAN5R-791BR","PHB 3X28D309WYR BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143477","20140822","BR"
"282","PAN5R-795BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153611","20150716","BR"
"283","PAN5R-799BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153612","20150716","BR"
"284","PAN5R-849CBGT","","Pannar Seed","White","Zea mays","GM","A 20133282","20130808","BR"
"285","PAN5R-851CBGT","","Pannar Seed","White","Zea mays","GM","A 20133283","20130808","BR"
"286","PAN5R-885BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173983","20170824","BR"
"287","PAN5R-891BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184156","20180816","BR"
"288","PAN5R-993BR","PHB 3SA99030326 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143473","20140822","BR"
"289","PAN6223B","","Pannar Seed","White","Zea mays","GM","A 20031842","20030710","B"
"290","PAN6236B","","Pannar Seed","Yellow","Zea mays","GM","A 20042003","20040820","B"
"291","PAN6326R","","Pannar Seed","Yellow","Zea mays","GM","A 20031879","20030707","R"
"292","PAN6432B","","Pannar Seed","Yellow","Zea mays","GM","A 20042006","20040820","B"
"293","PAN6B-309CB","","Pannar Seed","White","Zea mays","GM","A 20123129","20120807","B"
"294","PAN6B-365B","PHB 3SA63483027 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20153607","20150716","B"
"295","PAN6B-380B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153648","20150728","B"
"296","PAN6B-410B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153649","20150728","B"
"297","PAN6B-465B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163774","20160726","B"
"298","PAN6Q-308B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20082519","20080102","B"
"299","PAN6Q-345CB","","Pannar Seed","White","Zea mays","GM","A20123130","20120807","B"
"300","PAN6Q-408CB","","Pannar Seed","Yellow","Zea mays","GM","A 20133332","20130912","B"
"301","PAN6Q-419B","","Pannar Seed","White","Zea mays","GM","","","B"
"302","PAN6Q-445B","","Pannar Seed","White","Zea mays","GM","","","B"
"303","PAN6Q-508R","","Pannar Seed","Yellow","Zea mays","GM","A 20102826","20100816","R"
"304","PAN6Q-609R","","Pannar Seed","White","Zea mays","GM","A20112949","20110729","R"
"305","PAN6Q-645R","","Pannar Seed","White","Zea mays","GM","A20112950","20110729","R"
"306","PAN6Q-708BR","","Pannar Seed","Yellow","Zea mays","GM","A 20102821","20100816","BR"
"307","PAN6Q-745BR","","Pannar Seed","White","Zea mays","GM","A20112951","20110729","BR"
"308","PAN6Q-845CBGT","","Pannar Seed","White","Zea mays","GM","","","B"
"309","PAN6Q-865BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153613","20150716","BR"
"310","PAN6R-510R","","Pannar Seed","Yellow","Zea mays","GM","A 20133333","20130912","R"
"311","PAN6R-545GT","","Pannar Seed","White","Zea mays","GM","A 20143471","20140822","R"
"312","PAN6R-580GT","","Pannar Seed","Yellow","Zea mays","GM","A 20133334","20130912","R"
"313","PAN6R-664R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153650","20150728","R"
"314","PAN6R-665R","PHB 3SA50154088 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20143472","20140822","R"
"315","PAN6R-680R","PHB 3SA50154089R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143489","20140822","R"
"316","PAN6R-684R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153651","20150728","R"
"317","PAN6R-710BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153652","20150728","BR"
"318","PAN6R-765BR","PHB 3SA63483028 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153614","20150716","BR"
"319","PAN6R-779BR","PHB X35H446W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20163784","20160726","BR"
"320","PAN6R-780BR","PHB 3SA63483029 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153653","20150728","BR"
"321","PAN6R-797BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163775","20160726","BR"
"322","PAN6R-845CBGT","","Pannar Seed","White","Zea mays","GM","A 20133284","20130808","BR"
"323","PAN6R-880CBGT","","Pannar Seed","Yellow","Zea mays","GM","A 20133335","20130912","BR"
"324","PHB30B05BR","PHB 30D09 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20082576","20080807","BR"
"325","PHB30B95B","Phb3X5D400 WTE","Corteva Agriscience RSA","White","Zea mays","GM","A 20072476","20070801","B"
"326","PHB30B97BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20082575","20080807","BR"
"327","PHB30D04R","Phb 3X5D401WR","Corteva Agriscience RSA","White","Zea mays","GM","A 20082573","20080807","R"
"328","PHB30D07B","PHB 3X5C310 WT B","Corteva Agriscience RSA","White","Zea mays","GM","A 20082572","20080807","B"
"329","PHB30D09BR","Phb 30B05 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20082576","20080807","BR"
"330","PHB30F40B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20082611","20080731","B"
"331","PHB30F42B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102830","20100816","B"
"332","PHB30Y79B","Phb 3X5C314WTE","Corteva Agriscience RSA","White","Zea mays","GM","A 20072475","20070801","B"
"333","PHB30Y81R","PHB 3X28A057WR R)","Corteva Agriscience RSA","White","Zea mays","GM","A 20112959","20110729","R"
"334","PHB30Y82BR","PHB 3SA30108509 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123137","20120807","BR"
"335","PHB31D21B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112960","20110805","B"
"336","PHB31D22BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123177","20120814","BR"
"337","PHB31D23BR","X8F871 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194282","20190912","BR"
"338","PHB31D46BR","PHB 3X7F267TR BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102838","20100816","BR"
"339","PHB31D48B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20062384","20060801","B"
"340","PHB31D48B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","B"
"341","PHB31D48BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20082610","20080731","BR"
"342","PHB31D48BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","BR"
"343","PHB31G54BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102823","20100816","BR"
"344","PHB31G56R","Phb 3X23A025R R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112966","20110805","R"
"345","PHB31G58BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20082612","20080731","BR"
"346","PHB31K58B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102831","20100816","B"
"347","PHB31K58B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","B"
"348","PHB31M05R","PHB 3SA28342657 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123135","20120807","R"
"349","PHB31M07BR","PHB 3SA30108507 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123136","20120807","BR"
"350","PHB31M80R","Phb 31M81 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20082577","20080807","R"
"351","PHB31M81BR","PHB 31M84 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20082574","20080807","BR"
"352","PHB31M81R","PHB 31M80 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20082577","20080807","R"
"353","PHB31M82B","PHB 3X1183 DW B","Corteva Agriscience RSA","White","Zea mays","GM","A 20072472","20080801","B"
"354","PHB31M84BR","PHB 31M81 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20082574","20080807","BR"
"355","PHB31N28B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102834","20100816","B"
"356","PHB31Y94B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102776","20100816","B"
"357","PHB32A05B","","Corteva Agriscience RSA","White","Zea mays","GM","A 991377","19990811","B"
"358","PHB32B05R","PHB 3SA20581700 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123141","20120807","R"
"359","PHB32B06B","Phb 3X8F609 WT B","Corteva Agriscience RSA","White","Zea mays","GM","A 20102728","20100521","B"
"360","PHB32B07BR","Phb 3X8F610 WT BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20102729","20100521","BR"
"361","PHB32B07BR","","Corteva Agriscience RSA","White","Zea mays","GM","","","BR"
"362","PHB32B07YR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"363","PHB32D22YR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"364","PHB32D77R","BG 3592 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123178","20120814","R"
"365","PHB32D91R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20072465","20070801","R"
"366","PHB32D92BR","PHB 3SA42130924 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153654","20150728","BR"
"367","PHB32D95BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20072460","20070801","BR"
"368","PHB32D96B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20042033","20040820","B"
"369","PHB32P68R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20052221","20050826","R"
"370","PHB32T86B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123179","20120814","B"
"371","PHB32W72B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102833","20100816","B"
"372","PHB32W74BR","PHB 3X18A311YR BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133342","20130912","BR"
"373","PHB32Y86BR","PHB 3SA42130911 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123140","20120807","BR"
"374","PHB32Y87B","PHB 3X18A304WY B","Corteva Agriscience RSA","White","Zea mays","GM","A 20112953","20110729","B"
"375","PHB33A14B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 991309","19990720","B"
"376","PHB33B51B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102841","20100816","B"
"377","PHB33B54BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102840","20100816","BR"
"378","PHB33D47R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153655","20150728","R"
"379","PHB33H52B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102775","20100816","B"
"380","PHB33H54BR","PHB 3SA42703939 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123182","20120814","BR"
"381","PHB33H54YR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"382","PHB33H58BR","X13C815 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194271","20190912","BR"
"383","PHB33P81R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123180","20120814","R"
"384","PHB33R78B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20062381","20060801","B"
"385","PHB33Y72B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102868","20100816","B"
"386","PHB34D68R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102829","20100816","R"
"387","PHB34N44B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102774","20100816","B"
"388","PHB34N45BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102773","20100816","BR"
"389","PHB35P10BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102844","20100816","BR"
"390","PHB35T05R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102842","20100816","R"
"391","PHB36K66R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102843","20100816","R"
"392","PHB3SA20581700R","PHB 32B05 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123141","20120807","R"
"393","PHB3SA28342657R","PHB 31M05 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123135","20120807","R"
"394","PHB3SA30108507BR","PHB 31M07 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123136","20120807","BR"
"395","PHB3SA30108509BR","PHB 30Y82 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123137","20120807","BR"
"396","PHB3SA42130899BR","P2653 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123139","20120807","BR"
"397","PHB3SA42130906BR","P2961W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20133285","20130808","BR"
"398","PHB3SA42130911BR","PHB 32Y86 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123140","20120807","BR"
"399","PHB3SA42130924BR","PHB 32D92 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153654","20150728","BR"
"400","PHB3SA42703939BR","PHB 33H54 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123182","20120814","BR"
"401","PHB3SA42703942BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133336","20130912","BR"
"402","PHB3SA42703956BR","P1184 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133337","20130912","BR"
"403","PHB3SA50154084B","BG 6308 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143481","20140822","B"
"404","PHB3SA50154088R","PAN 6R-665 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20143472","20140822","R"
"405","PHB3SA50154089R","PAN 6R-680 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143489","20140822","R"
"406","PHB3SA53892834R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133338","20130912","R"
"407","PHB3SA53892835B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133339","20130912","B"
"408","PHB3SA63483027B","PAN 6B-365 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20153607","20150716","B"
"409","PHB3SA63483028BR","PAN 6R-765 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153614","20150716","BR"
"410","PHB3SA63483029BR","PAN 6R-780 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153653","20150728","BR"
"411","PHB3SA88214401BR","P2864W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153615","20150716","BR"
"412","PHB3SA88214802BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163776","20160726","BR"
"413","PHB3SA88214803BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153616","20150716","BR"
"414","PHB3SA88214804B","P2553W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20163777","20160726","B"
"415","PHB3SA88214806BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163799","20160726","BR"
"416","PHB3SA88214807R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153656","20150728","R"
"417","PHB3SA88214808BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153657","20150728","BR"
"418","PHB3SA99030326BR","PAN 5R-993 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143473","20140822","BR"
"419","PHB3X1183DWB","PHB 31M82 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20072472","20080801","B"
"420","PHB3X13A473YRBR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153658","20150728","BR"
"421","PHB3X13A497YRBR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153659","20150728","BR"
"422","PHB3X13B414YRBR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133340","20130912","BR"
"423","PHB3X13B676YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123183","20120814","B"
"424","PHB3X13C816YB","P1486 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133341","20130912","B"
"425","PHB3X13D214YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143490","20140822","B"
"426","PHB3X13F539YRBR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153660","20150728","BR"
"427","PHB3X18A303WYRBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123142","20120807","BR"
"428","PHB3X18A304WYB","PHB 32Y87 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20112953","20110729","B"
"429","PHB3X18A311YRBR","PHB 32W74 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133342","20130912","BR"
"430","PHB3X18A322RR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112964","20110805","R"
"431","PHB3X18A322YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112965","20110805","B"
"432","PHB3X18A655R","P1814 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153661","20150728","R"
"433","PHB3X18A679YRBR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143491","20140822","BR"
"434","PHB3X18B761WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123143","20120807","B"
"435","PHB3X18B771YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133343","20130912","B"
"436","PHB3X18B774YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123184","20120814","B"
"437","PHB3X18B776YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123185","20120814","B"
"438","PHB3X18B776YRBR","PAN 4R-776 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143488","20140822","BR"
"439","PHB3X18C517WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20143474","20140822","B"
"440","PHB3X23A012WYB","PAN 4B-311 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20123144","20120807","B"
"441","PHB3X23A017YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123186","20120814","B"
"442","PHB3X23A025RR","PHB 31G56 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112966","20110805","R"
"443","PHB3X23B140WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123145","20120807","B"
"444","PHB3X23B142WYB","IMP 52-11 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20133286","20130808","B"
"445","PHB3X23B143WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123146","20120807","B"
"446","PHB3X23B144WYB","VP 8405 B","Corteva Agriscience RSA","White","Zea mays","GM","A20123147","20120807","B"
"447","PHB3X23B148RR","P2432 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123188","20120814","R"
"448","PHB3X23B151YB","P2137 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133344","20130912","B"
"449","PHB3X23C336YNCB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133345","20130912","B"
"450","PHB3X23D411WYRBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20143475","20140822","BR"
"451","PHB3X23D412R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153662","20150728","R"
"452","PHB3X23F431WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153619","20150716","B"
"453","PHB3X23F432WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153620","20150716","B"
"454","PHB3X23F436WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153621","20150716","B"
"455","PHB3X23F442YB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153663","20150728","B"
"456","PHB3X28A047WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20112955","20110729","B"
"457","PHB3X28A056WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123148","20120807","B"
"458","PHB3X28A057WRR","PHB 30Y81 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20112959","20110729","R"
"459","PHB3X28A057WYRBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123149","20120807","BR"
"460","PHB3X28B174WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123150","20120807","B"
"461","PHB3X28C224WYB","P2961W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20133287","20130808","B"
"462","PHB3X28C225YRBR","P2823W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143466","20140822","BR"
"463","PHB3X28D298WYRBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153617","20150716","BR"
"464","PHB3X28D299WYRBR","P2707W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143476","20140822","BR"
"465","PHB3X28D308WYRBR","P2880W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153618","20150716","BR"
"466","PHB3X28D309WYRBR","PAN 5R-791 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143477","20140822","BR"
"467","PHB3X28D310WYRBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20143478","20140822","BR"
"468","PHB3X28F401WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153622","20150716","B"
"469","PHB3X35A164WRR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123151","20120807","R"
"470","PHB3X35A165WRR","PAN 5R-693 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123152","20120807","R"
"471","PHB3X35A165WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20123153","20120807","B"
"472","PHB3X35C547WYB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20133288","20130808","B"
"473","PHB3X5C310WTB","PHB 30D07 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20082572","20080807","B"
"474","PHB3X5C314WTE","PHB 30Y79 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20072475","20070801","B"
"475","PHB3X5D400WTE","PHB 30B95 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20072476","20070801","B"
"476","PHB3X5D401WR","PHB 30D04 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20082573","20080807","R"
"477","PHB3X6H922TB","BG 3492 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102771","20100816","B"
"478","PHB3X7F267TRBR","PHB 31D46 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102838","20100816","BR"
"479","PHB3X7F761TB","P1973 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123189","20120814","B"
"480","PHB3X8C403TB","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102769","20100816","B"
"481","PHB3X8D555RR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102836","20100816","R"
"482","PHB3X8F609WTB","PHB 32B06 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20102728","20100521","B"
"483","PHB3X8F610WTBR","PHB 32B07 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20102729","20100521","BR"
"484","PHB3X8F611TRBR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102837","20100816","BR"
"485","PHBSA33400352R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112967","20110805","R"
"486","PHBX13B655BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174014","20170828","BR"
"487","PHBX13C761BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163802","20160726","BR"
"488","PHBX13C761R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163800","20160726","R"
"489","PHBX13C762R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163801","20160726","R"
"490","PHBX18F886B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163803","20160726","B"
"491","PHBX23F431WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163778","20160726","R"
"492","PHBX23F433WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163779","20160726","BR"
"493","PHBX23F438WR","P2553W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20163787","20160726","R"
"494","PHBX23F442B","P2370 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163804","20160726","B"
"495","PHBX23H505WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163786","20160726","R"
"496","PHBX23H509WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163780","20160726","B"
"497","PHBX23H513WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163788","20160726","R"
"498","PHBX23H517B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163805","20160726","B"
"499","PHBX23H518B","P2319 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163806","20160726","B"
"500","PHBX28D297WB","P3058W Y","Corteva Agriscience RSA","White","Zea mays","GM","A 20163781","20160726","B"
"501","PHBX28D310WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163782","20160726","B"
"502","PHBX28D310WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163783","20160726","BR"
"503","PHBX35H446WBR","PAN 6R-779 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20163784","20160726","BR"
"504","PHBX80407777WB","P2311W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20163785","20160726","B"
"505","PHBX80407783WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173994","20170824","B"
"506","PR31D25","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133346","20130912","R"
"507","PR33W86","","Pioneer Hi-Bred RSA","Yellow","Zea mays","GM","A 20123181","20120814","R"
"508","SA79335446WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194284","20190912","BR"
"509","SS7987BR","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20204378","20201208","BR"
"510","SV419","","Pannar Seed","White","Zea mays","GM","","","0"
"511","TQ31137525BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174015","20170828","BR"
"512","US9680BR","","United Seeds","Yellow","Zea mays","GM","","","BR"
"513","USL9690R","","Link Seed","Yellow","Zea mays","GM","A 20123190","20120814","R"
"514","USL9696R","","Link Seed","Yellow","Zea mays","GM","A 20123191","20120814","R"
"515","VP8208BR","X13A488 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174016","20170828","BR"
