"","cultivar_name","alternate","breeder","color","crop","type","number","release_year","technology"
"59","DKC76-75B","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20204379","20201208","B"
"60","DKC76-77BR","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20184155","20180816","BR"
"61","DKC77-61B","","Bayer (Pty) Ltd","White","Zea mays","GM","","","B"
"62","DKC77-77BR","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20123121","20120807","BR"
"63","DKC77-85B","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20112947","20110729","B"
"64","DKC78-15B","","Bayer (Pty) Ltd","White","Zea mays","GM","","","B"
"65","DKC78-17B","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20123122 ","20120807","B"
"66","DKC78-35R","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20042054","20040820","R"
"67","DKC78-45BR","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20072418","20070205","BR"
"68","DKC78-49BR","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20072419","20070205","BR"
"69","DKC78-79BR","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20123123","20120807","BR"
"70","DKC78-83R","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20102856","20100521","R"
"71","DKC78-87B","","Bayer (Pty) Ltd","White","Zea mays","GM","A 20123124","20120807","B"
"72","DKC80-12B","","Bayer (Pty) Ltd","Yellow","Zea mays","GM","A 20041968","20040226","B"
"73","DKC80-30R","","Bayer (Pty) Ltd","Yellow","Zea mays","GM","A 20042053","20040820","R"
"74","DKC80-40BR","","Bayer (Pty) Ltd","Yellow","Zea mays","GM","A 20072417","20070205","BR"
"75","IMP50-10B","","Corteva Agriscience RSA","yellow","Zea mays","GM","","","B"
"76","IMP50-10BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143484","20140822","BR"
"77","IMP50-10R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112961","20110805","R"
"78","IMP50-90BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20082645","20080731","BR"
"79","IMP51-22B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112962","20110805","B"
"80","IMP51-22BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174009","20170828","BR"
"81","IMP51-92R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20112963","20110805","R"
"82","IMP52-11B","PHB 3X23B142WY B","Corteva Agriscience RSA","White","Zea mays","GM","A 20133286","20130808","B"
"83","IMP52-11R","","Corteva Agriscience RSA","White","Zea mays","GM","A 20143465","20140822","R"
"84","IMP52-12BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174010","20170828","BR"
"85","IMP52-12R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163794","20160726","R"
"86","IMP53-49B","","Corteva Agriscience RSA","White","Zea mays","GM","","","B"
"87","IMP53-49BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173980","20170824","BR"
"88","IMP53-49R","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174002","20170824","R"
