Year,Provence,Region,locality_no,locality,cultivar_no,breeder,cultivar_name,Rep,yield,temp,Yellow,White,Irrigated
2011,NW,short growers,,Potchefstroom,16,Pannar,PAN3D-736BR,3,14.53901714,,1,0,1
2011,NW,West,,Glaudina,40,Monsanto,DKC78-35R,1,2.901185771,,0,1,0
2011,WC,West,,Hoogekraal,11,Monsanto,DKC66-60B,2,6.379008899,,1,0,0
2011,WC,West,,Hoogekraal,11,Monsanto,DKC66-60B,1,6.960966745,,1,0,0
2011,WC,West,,Hoogekraal,11,Monsanto,DKC66-60B,3,7.967190632,,1,0,0
2011,WC,West,,Hoogekraal,14,Monsanto,DKC80-12B,1,7.584094588,,1,0,0
2011,FS,West,,Bothaville,1,Monsanto,DKC80-40BR,3,9.448928121,,1,0,0
2011,NW,West,,Wolmaranstad,11,Monsanto,DKC66-60B,2,6.127192982,,1,0,0
2011,NW,West,,Wolmaranstad,14,Monsanto,DKC80-12B,3,8.870411322,,1,0,0
2011,NW,West,,Wolmaranstad,18,Pioneer,Phb31D48B,3,7.010463659,,1,0,0
2011,FS,West,,Bothaville,2,Pannar,PAN6Q-308B,2,4.156216391,,1,0,0
2011,FS,West,,Bothaville,2,Pannar,PAN6Q-308B,3,5.489342404,,1,0,0
2011,FS,West,,Bothaville,2,Pannar,PAN6Q-308B,1,8.782947846,,1,0,0
2011,FS,West,,Bothaville,3,Link Seed,LS8518,2,8.578711058,,1,0,0
2011,WC,short growers,,Hoogekraal,19,Link Seed,LS8527BR,1,16.16190476,,0,1,1
2011,NW,West,,Ottosdal,29,Pioneer,Phb30Y79B,2,9.412307835,,0,1,0
2011,FS,West,,Bothaville,3,Link Seed,LS8518,2,7.227283062,,1,0,0
2011,FS,West,,Bothaville,3,Link Seed,LS8518,3,7.628798787,,1,0,0
2011,FS,east,,Bethlehem,42,Monsanto,DKC78-35R,2,10.78208492,,0,1,0
2011,FS,east,,Bethlehem,42,Monsanto,DKC78-35R,3,12.60593136,,0,1,0
2011,GP,east,,Bloekomspruit,2,Monsanto,DKC73-74BR,1,4.933057851,,1,0,0
2011,MP,east,,Delmas,19,Monsanto,DKC73-70B,2,12.09650433,,1,0,0
2011,MP,east,,Delmas,19,Monsanto,DKC73-70B,3,13.50728085,,1,0,0
2011,MP,east,,Delmas,19,Monsanto,DKC73-70B,1,16.50926217,,1,0,0
2011,FS,West,,Bothaville,4,Monsanto,DKC73-74BR,1,8.447922354,,1,0,0
2011,FS,West,,Bothaville,5,Pannar,PAN6P-110,3,6.857846456,,1,0,0
2011,FS,West,,Bothaville,5,Pannar,PAN6P-110,1,7.336954474,,1,0,0
2011,FS,West,,Bothaville,5,Pannar,PAN6P-110,2,7.811586692,,1,0,0
2011,FS,West,,Bothaville,5,Pannar,PAN6P-110,3,3.589507696,,1,0,0
2011,FS,West,,Bothaville,5,Pannar,PAN6P-110,1,5.384261543,,1,0,0
2011,FS,West,,Bothaville,5,Pannar,PAN6P-110,2,7.647212047,,1,0,0
2011,FS,West,,Bothaville,6,K2 Agri,KKS4452B,2,6.870663663,,1,0,0
2011,FS,West,,Bothaville,6,K2 Agri,KKS4452B,3,7.346464329,,1,0,0
2011,FS,West,,Bothaville,6,K2 Agri,KKS4452B,1,7.82086183,,1,0,0
2011,FS,West,,Bothaville,6,K2 Agri,KKS4452B,3,3.885400314,,1,0,0
2011,FS,West,,Bothaville,6,K2 Agri,KKS4452B,1,6.449764521,,1,0,0
2011,FS,West,,Bothaville,6,K2 Agri,KKS4452B,2,7.30455259,,1,0,0
2011,FS,West,,Bothaville,7,Monsanto,DKC73-76R,3,6.599858068,,1,0,0
2011,FS,West,,Bothaville,7,Monsanto,DKC73-76R,2,6.98384981,,1,0,0
2011,FS,West,,Bothaville,7,Monsanto,DKC73-76R,1,7.751833294,,1,0,0
2011,FS,West,,Bothaville,7,Monsanto,DKC73-76R,3,5.086652372,,1,0,0
2011,FS,West,,Bothaville,7,Monsanto,DKC73-76R,1,5.89405751,,1,0,0
2011,FS,West,,Bothaville,7,Monsanto,DKC73-76R,2,6.862943677,,1,0,0
2011,FS,West,,Bothaville,8,Pannar,PAN6Q-508R,3,7.364730508,,1,0,0
2011,FS,West,,Bothaville,8,Pannar,PAN6Q-508R,2,8.024420024,,1,0,0
2011,FS,West,,Wesselsbron,21,Pannar,PAN4P-434B,1,9.33077686,,1,0,0
2011,FS,West,,Bothaville,8,Pannar,PAN6Q-508R,1,4.379907629,,1,0,0
2011,FS,West,,Bothaville,8,Pannar,PAN6Q-508R,2,5.631309808,,1,0,0
2011,FS,West,,Bothaville,8,Pannar,PAN6Q-508R,3,6.257010898,,1,0,0
2011,FS,West,,Bothaville,9,Pioneer,Phb33H52B,3,6.552448534,,1,0,0
2011,FS,West,,Bothaville,9,Pioneer,Phb33H52B,2,6.860715158,,1,0,0
2011,FS,West,,Bothaville,9,Pioneer,Phb33H52B,1,7.163684404,,1,0,0
2011,FS,West,,Bothaville,9,Pioneer,Phb33H52B,3,4.791208791,,1,0,0
2011,FS,West,,Bothaville,9,Pioneer,Phb33H52B,1,5.749450549,,1,0,0
2011,FS,West,,Bothaville,9,Pioneer,Phb33H52B,2,5.749450549,,1,0,0
2011,FS,West,,Bothaville,10,Link Seed,LS8512,2,6.109220304,,1,0,0
2011,FS,West,,Bothaville,10,Link Seed,LS8512,3,7.6118472,,1,0,0
2011,FS,West,,Bothaville,10,Link Seed,LS8512,1,9.11789676,,1,0,0
2011,FS,West,,Bothaville,10,Link Seed,LS8512,3,4.740049866,,1,0,0
2011,FS,West,,Bothaville,10,Link Seed,LS8512,2,7.031073968,,1,0,0
2011,FS,West,,Bothaville,10,Link Seed,LS8512,1,7.426078124,,1,0,0
2011,FS,West,,Bothaville,11,Monsanto,DKC66-60B,3,7.419593986,,1,0,0
2011,FS,West,,Bothaville,11,Monsanto,DKC66-60B,2,8.422982732,,1,0,0
2011,FS,West,,Bothaville,11,Monsanto,DKC66-60B,1,9.43168727,,1,0,0
2011,NW,West,,Kapsteel,14,Monsanto,DKC80-12B,3,5.649581028,,1,0,0
2011,NW,West,,Kapsteel,20,National Seed,NS5916,2,3.338750988,,1,0,0
2011,NW,West,,Kapsteel,20,National Seed,NS5916,1,4.332196499,,1,0,0
2011,NW,West,,Kapsteel,20,National Seed,NS5916,3,4.342766798,,1,0,0
2011,FS,West,,Bothaville,12,Pannar,PAN6Q-708BR,3,8.026129426,,1,0,0
2011,FS,West,,Bothaville,12,Pannar,PAN6Q-708BR,2,8.438678867,,1,0,0
2011,FS,West,,Bothaville,12,Pannar,PAN6Q-708BR,3,6.548239119,,1,0,0
2011,FS,West,,Bothaville,12,Pannar,PAN6Q-708BR,1,7.614231533,,1,0,0
2011,FS,West,,Bothaville,12,Pannar,PAN6Q-708BR,2,7.766516164,,1,0,0
2011,FS,West,,Bothaville,13,Agricol,IMP51-22B,2,6.840659341,,1,0,0
2011,FS,West,,Bothaville,13,Agricol,IMP51-22B,3,7.296703297,,1,0,0
2011,FS,West,,Bothaville,13,Agricol,IMP51-22B,1,7.904761905,,1,0,0
2011,FS,West,,Bothaville,13,Agricol,IMP51-22B,3,7.273469388,,1,0,0
2011,FS,West,,Bothaville,13,Agricol,IMP51-22B,2,7.758367347,,1,0,0
2011,FS,West,,Bothaville,13,Agricol,IMP51-22B,1,8.566530612,,1,0,0
2011,NW,West,,Potchefstroom,26,Agricol,IMP52-11,3,8.525601411,,0,1,0
2011,NW,West,,Potchefstroom,26,Agricol,IMP52-11,1,9.209324217,,0,1,0
2011,FS,West,,Bothaville,14,Monsanto,DKC80-12B,2,8.286404865,,1,0,0
2011,FS,West,,Bothaville,14,Monsanto,DKC80-12B,3,7.750747688,,1,0,0
2011,FS,West,,Bothaville,14,Monsanto,DKC80-12B,2,7.995508141,,1,0,0
2011,FS,West,,Bothaville,14,Monsanto,DKC80-12B,1,9.708831315,,1,0,0
2011,FS,West,,Bothaville,15,Pannar,PAN4P-316B,2,5.607676669,,1,0,0
2011,FS,West,,Bothaville,15,Pannar,PAN4P-316B,3,5.607676669,,1,0,0
2011,FS,West,,Bothaville,15,Pannar,PAN4P-316B,1,6.380770975,,1,0,0
2011,FS,West,,Bothaville,15,Pannar,PAN4P-316B,3,3.455899529,,1,0,0
2011,FS,West,,Bothaville,15,Pannar,PAN4P-316B,2,5.498021978,,1,0,0
2011,FS,West,,Bothaville,15,Pannar,PAN4P-316B,1,6.440540031,,1,0,0
2011,FS,West,,Bothaville,16,K2 Agri,KKS8406B,1,8.516571429,,1,0,0
2011,FS,West,,Bothaville,16,K2 Agri,KKS8406B,2,8.577142857,,1,0,0
2011,FS,West,,Bothaville,16,K2 Agri,KKS8406B,3,8.64,,1,0,0
2011,FS,West,,Bothaville,16,K2 Agri,KKS8406B,1,6.499696049,,1,0,0
2011,FS,West,,Bothaville,16,K2 Agri,KKS8406B,2,8.666261398,,1,0,0
2011,FS,West,,Bothaville,16,K2 Agri,KKS8406B,3,9.166238017,,1,0,0
2011,FS,West,,Bothaville,17,Monsanto,DKC73-70B,2,7.527302805,,1,0,0
2011,FS,West,,Bothaville,17,Monsanto,DKC73-70B,3,9.184690578,,1,0,0
2011,FS,West,,Bothaville,17,Monsanto,DKC73-70B,1,9.322806226,,1,0,0
2011,FS,West,,Bothaville,17,Monsanto,DKC73-70B,1,6.534225551,,1,0,0
2011,FS,West,,Bothaville,17,Monsanto,DKC73-70B,3,6.693596906,,1,0,0
2011,FS,West,,Bothaville,17,Monsanto,DKC73-70B,2,8.366996132,,1,0,0
2011,FS,West,,Bothaville,18,Pioneer,Phb31D48B,3,6.068006068,,1,0,0
2011,FS,West,,Bothaville,18,Pioneer,Phb31D48B,2,7.208791209,,1,0,0
2011,FS,West,,Bothaville,18,Pioneer,Phb31D48B,1,8.082584083,,1,0,0
2011,FS,West,,Bothaville,18,Pioneer,Phb31D48B,2,5.749342356,,1,0,0
2011,FS,West,,Bothaville,18,Pioneer,Phb31D48B,3,6.930714074,,1,0,0
2011,FS,West,,Bothaville,18,Pioneer,Phb31D48B,1,7.40326276,,1,0,0
2011,FS,West,,Bothaville,19,Link Seed,LS8522R,1,7.105067397,,1,0,0
2011,FS,West,,Bothaville,19,Link Seed,LS8522R,2,7.295169535,,1,0,0
2011,FS,West,,Bothaville,19,Link Seed,LS8522R,3,7.913001483,,1,0,0
2011,FS,West,,Bothaville,19,Link Seed,LS8522R,3,4.469533151,,1,0,0
2011,FS,West,,Bothaville,19,Link Seed,LS8522R,2,6.273028984,,1,0,0
2011,FS,West,,Bothaville,19,Link Seed,LS8522R,1,8.15493768,,1,0,0
2011,FS,West,,Bothaville,20,National Seed,NS5916,1,5.723712589,,1,0,0
2011,FS,West,,Bothaville,20,National Seed,NS5916,2,6.060115123,,1,0,0
2011,FS,West,,Bothaville,20,National Seed,NS5916,3,6.395727428,,1,0,0
2011,FS,West,,Bothaville,20,National Seed,NS5916,3,4.414245014,,1,0,0
2011,FS,West,,Bothaville,20,National Seed,NS5916,2,5.517806268,,1,0,0
2011,NC,West,,Rushof,2,Pannar,PAN6Q-308B,1,8.545246753,,1,0,0
2011,FS,West,,Bothaville,21,Pannar,PAN4P-434B,2,6.287842975,,1,0,0
2011,MP,east,,Delmas,19,Monsanto,DKC73-70B,2,8.004323308,,1,0,0
2011,FS,West,,Bothaville,21,Pannar,PAN4P-434B,3,8.549478195,,1,0,0
2011,FS,West,,Bothaville,21,Pannar,PAN4P-434B,3,6.076694139,,1,0,0
2011,NC,short growers,,Plooysburg,17,Pioneer,Phb32D96B,3,13.46409377,,1,0,1
2011,FS,West,,Bothaville,21,Pannar,PAN4P-434B,2,7.755780678,,1,0,0
2011,FS,West,,Bothaville,22,Monsanto,DKC73-72,2,6.809777427,,1,0,0
2011,NW,West,,Koster,11,Monsanto,DKC66-60B,2,2.322487218,,1,0,0
2011,NW,West,,Koster,11,Monsanto,DKC66-60B,3,2.519115789,,1,0,0
2011,NW,West,,Koster,11,Monsanto,DKC66-60B,1,3.230582707,,1,0,0
2011,NW,West,,Koster,14,Monsanto,DKC80-12B,3,4.123169925,,1,0,0
2011,FS,east,,Bethlehem,48,Pioneer,P2823WB,2,6.548949402,,0,1,0
2011,FS,east,,Bethlehem,48,Pioneer,P2823WB,3,8.242643212,,0,1,0
2011,FS,east,,Bethlehem,48,Pioneer,P2823WB,1,10.81783013,,0,1,0
2011,FS,West,,Wesselsbron,23,Pioneer,Phb32W72B,1,5.365068871,,1,0,0
2011,FS,West,,Bultfontein,43,K2 Agri,KKS8301,2,6.942325766,,0,1,0
2011,FS,West,,Bultfontein,44,Pannar,PAN6723,2,6.791379133,,0,1,0
2011,NW,West,,Kapsteel,39,Pannar,PAN5Q-649R,1,4.566233766,,0,1,0
2011,FS,West,,Bultfontein,34,Capstone,CAP9001,1,7.517579768,,0,1,0
2011,FS,West,,Bultfontein,35,Pannar,PAN5Q-433B,2,7.633082707,,0,1,0
2011,NW,West,,Potchefstroom,26,Agricol,IMP52-11,3,9.916019695,,0,1,0
2011,NW,West,,Kapsteel,23,Pioneer,Phb32W72B,1,3.86217956,,1,0,0
2011,NW,West,,Kapsteel,23,Pioneer,Phb32W72B,3,4.143665726,,1,0,0
2011,NW,West,,Kapsteel,24,Pannar,PAN6Q-445B,1,4.085104461,,0,1,0
2011,FS,east,,Bethlehem,40,Pannar,PAN5Q-649R,2,12.56979293,,0,1,0
2011,KZN,east,,Cedara,40,Pannar,PAN5Q-649R,3,6.625142857,,0,1,0
2011,KZN,east,,Cedara,41,K2 Agri,KKS8301,1,7.652444444,,0,1,0
2011,KZN,east,,Cedara,41,K2 Agri,KKS8301,2,6.224355556,,0,1,0
2011,NW,West,,Kapsteel,48,Pannar,PAN6611,3,4.684074534,,0,1,0
2011,NW,West,,Koster,48,Pannar,PAN6611,3,2.924150376,,0,1,0
2011,FS,West,,Bothaville,30,Link Seed,LS8529,2,8.220982011,,0,1,0
2011,NW,West,,Koster,48,Pannar,PAN6611,1,3.273228571,,0,1,0
2011,NW,West,,Leeudoringstad,48,Pannar,PAN6611,1,10.27729745,,0,1,0
2011,NW,West,,Leeudoringstad,48,Pannar,PAN6611,3,10.65,,0,1,0
2011,NW,West,,Leeudoringstad,48,Pannar,PAN6611,2,10.66,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,2,7.513702993,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,1,7.684300395,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,3,7.746656126,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,1,3.477271429,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,2,4.073628571,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,3,4.888078195,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,1,0.395061728,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,2,2.737608466,,0,1,0
2011,NW,West,,Lichtenburg,48,Pannar,PAN6611,3,4.236416226,,0,1,0
2011,NW,West,,Ottosdal,48,Pannar,PAN6611,3,6.244709452,,0,1,0
2011,NW,West,,Ottosdal,48,Pannar,PAN6611,2,7.413,,0,1,0
2011,NW,West,,Ottosdal,48,Pannar,PAN6611,1,8.318148138,,0,1,0
2011,NW,West,,Potchefstroom,48,Pannar,PAN6611,1,8.589262787,,0,1,0
2011,NW,West,,Potchefstroom,48,Pannar,PAN6611,2,9.044881834,,0,1,0
2011,FS,West,,Bothaville,23,Pioneer,Phb32W72B,2,7.735718982,,1,0,0
2011,FS,West,,Bothaville,23,Pioneer,Phb32W72B,3,5.352316548,,1,0,0
2011,FS,West,,Bothaville,23,Pioneer,Phb32W72B,1,6.205584403,,1,0,0
2011,FS,West,,Bothaville,23,Pioneer,Phb32W72B,2,7.601840894,,1,0,0
2011,FS,West,,Bothaville,29,Pioneer,Phb30Y79B,1,9.842774479,,0,1,0
2011,NC,West,,Rushof,48,Pannar,PAN6611,3,6.363636364,,0,1,0
2011,NC,West,,Rushof,48,Pannar,PAN6611,1,9.008264463,,0,1,0
2011,FS,West,,Viljoenskroon,48,Pannar,PAN6611,3,4.803455741,,0,1,0
2011,FS,West,,Viljoenskroon,48,Pannar,PAN6611,2,5.345781389,,0,1,0
2011,NW,West,,Coligny,44,Pannar,PAN6723,3,6.023773434,,0,1,0
2011,NW,West,,Coligny,44,Pannar,PAN6723,3,4.593544667,,0,1,0
2011,FS,West,,Viljoenskroon,48,Pannar,PAN6611,2,10.21432381,,0,1,0
