Year,Provence,Region,locality_no,locality,cultivar_no,breeder,cultivar_name,Rep,yield,temp,Yellow,White,Irrigated
2012,FS,west,,Bothaville,1,Pannar,PAN6Q-308B,1,6.163003175,,1,0,0
2012,FS,west,,Bothaville,1,Pannar,PAN6Q-308B,2,4.827809524,,1,0,0
2012,FS,west,,Bothaville,1,Pannar,PAN6Q-308B,3,5.778831746,,1,0,0
2012,FS,west,,Bothaville,1,Pannar,PAN6Q-308B,1,7.731791908,,1,0,0
2012,FS,west,,Bothaville,1,Pannar,PAN6Q-308B,2,6.451213873,,1,0,0
2012,FS,west,,Bothaville,1,Pannar,PAN6Q-308B,3,7.093919075,,1,0,0
2012,NW,west,,Coligny,1,Pannar,PAN6Q-308B,1,5.827887629,,1,0,0
2012,NW,west,,Coligny,1,Pannar,PAN6Q-308B,2,6.414587726,,1,0,0
2012,NW,west,,Coligny,1,Pannar,PAN6Q-308B,3,5.827887629,,1,0,0
2012,NW,west,,Delareyville,1,Pannar,PAN6Q-308B,1,5.237848496,,1,0,0
2012,NW,west,,Delareyville,1,Pannar,PAN6Q-308B,2,5.723027068,,1,0,0
2012,NW,west,,Delareyville,1,Pannar,PAN6Q-308B,3,6.303289474,,1,0,0
2012,NW,west,,Glaudina,1,Pannar,PAN6Q-308B,1,3.033900621,,1,0,0
2012,NW,west,,Glaudina,1,Pannar,PAN6Q-308B,2,3.580347826,,1,0,0
2012,NW,west,,Glaudina,1,Pannar,PAN6Q-308B,3,3.780538302,,1,0,0
2012,WC,west,,Hoogekraal,1,Pannar,PAN6Q-308B,1,8.199439153,,1,0,0
2012,WC,west,,Hoogekraal,1,Pannar,PAN6Q-308B,2,8.444640564,,1,0,0
2012,WC,west,,Hoogekraal,1,Pannar,PAN6Q-308B,3,8.015466667,,1,0,0
2012,NW,west,,Kapsteel,1,Pannar,PAN6Q-308B,1,5.8072,,1,0,0
2012,NW,west,,Kapsteel,1,Pannar,PAN6Q-308B,2,5.250438095,,1,0,0
2012,NW,west,,Kapsteel,1,Pannar,PAN6Q-308B,3,5.838171429,,1,0,0
2012,NW,west,,Kapsteel,1,Pannar,PAN6Q-308B,1,4.414156379,,1,0,0
2012,NW,west,,Kapsteel,1,Pannar,PAN6Q-308B,2,1.909465021,,1,0,0
2012,NW,west,,Kapsteel,1,Pannar,PAN6Q-308B,3,5.336468744,,1,0,0
2012,FS,west,,Kroonstad,1,Pannar,PAN6Q-308B,1,2.833333333,,1,0,0
2012,FS,west,,Kroonstad,1,Pannar,PAN6Q-308B,2,4.587962963,,1,0,0
2012,FS,west,,Kroonstad,1,Pannar,PAN6Q-308B,3,4.666666667,,1,0,0
2012,NW,west,,Leeudoringstad,1,Pannar,PAN6Q-308B,1,7.107243058,,1,0,0
2012,NW,west,,Leeudoringstad,1,Pannar,PAN6Q-308B,2,5.034297166,,1,0,0
2012,NW,west,,Leeudoringstad,1,Pannar,PAN6Q-308B,3,7.45273404,,1,0,0
2012,NW,west,,Lichtenburg,1,Pannar,PAN6Q-308B,1,3.163343915,,1,0,0
2012,NW,west,,Lichtenburg,1,Pannar,PAN6Q-308B,2,2.069333333,,1,0,0
2012,NW,west,,Lichtenburg,1,Pannar,PAN6Q-308B,3,2.918941799,,1,0,0
2012,FS,west,,Nampo,1,Pannar,PAN6Q-308B,1,2.690829932,,1,0,0
2012,FS,west,,Nampo,1,Pannar,PAN6Q-308B,2,3.693496599,,1,0,0
2012,FS,west,,Nampo,1,Pannar,PAN6Q-308B,3,2.701061224,,1,0,0
2012,NW,west,,Ottosdal,1,Pannar,PAN6Q-308B,1,3.846620799,,1,0,0
2012,NW,west,,Ottosdal,1,Pannar,PAN6Q-308B,2,4.30861703,,1,0,0
2012,NW,west,,Ottosdal,1,Pannar,PAN6Q-308B,3,5.182392512,,1,0,0
2012,NW,west,,Potchefstroom,1,Pannar,PAN6Q-308B,1,6.969989418,,1,0,0
2012,NW,west,,Potchefstroom,1,Pannar,PAN6Q-308B,2,7.813333333,,1,0,0
2012,NW,west,,Potchefstroom,1,Pannar,PAN6Q-308B,3,8.251541446,,1,0,0
2012,NC,west,,Rushof,1,Pannar,PAN6Q-308B,1,3.667217631,,1,0,0
2012,NC,west,,Rushof,1,Pannar,PAN6Q-308B,2,3.870325069,,1,0,0
2012,NC,west,,Rushof,1,Pannar,PAN6Q-308B,3,3.847757576,,1,0,0
2012,NW,west,,Tweebuffels,1,Pannar,PAN6Q-308B,1,5.340566725,,1,0,0
2012,NW,west,,Tweebuffels,1,Pannar,PAN6Q-308B,2,5.622960611,,1,0,0
2012,NW,west,,Tweebuffels,1,Pannar,PAN6Q-308B,3,6.486753674,,1,0,0
2012,FS,west,,Viljoenskroon,1,Pannar,PAN6Q-308B,1,5.397961232,,1,0,0
2012,FS,west,,Viljoenskroon,1,Pannar,PAN6Q-308B,2,4.45699246,,1,0,0
2012,FS,west,,Viljoenskroon,1,Pannar,PAN6Q-308B,3,4.476621239,,1,0,0
2012,FS,west,,Viljoenskroon,1,Pannar,PAN6Q-308B,1,4.506349206,,1,0,0
2012,FS,west,,Viljoenskroon,1,Pannar,PAN6Q-308B,2,5.89,,1,0,0
