Year,Provence,Region,locality_no,locality,cultivar_no,breeder,cultivar_name,Rep,yield,temp,Yellow,White,Irrigated
2018,FS,watertable,1,Bultfontein,30,Seed Co,SC549,1,3.8654,,0,1,0
2018,FS,watertable,1,Bultfontein,30,Seed Co,SC549,2,5.2667,,0,1,0
2018,FS,watertable,1,Bultfontein,30,Seed Co,SC549,3,5.1744,,0,1,0
2018,NW,watertable,2,Leeudoringstad,30,Seed Co,SC549,1,6.3787,,0,1,0
2018,NW,watertable,2,Leeudoringstad,30,Seed Co,SC549,2,7.2334,,0,1,0
2018,NW,watertable,2,Leeudoringstad,30,Seed Co,SC549,3,6.4413,,0,1,0
2018,FS,watertable,3,Losdoorns,30,Seed Co,SC549,1,6.7836,,0,1,0
2018,FS,watertable,3,Losdoorns,30,Seed Co,SC549,2,6.7386,,0,1,0
2018,FS,watertable,3,Losdoorns,30,Seed Co,SC549,3,7.1464,,0,1,0
2018,FS,watertable,4,Proklameerdrift,30,Seed Co,SC549,1,7.1954,,0,1,0
2018,FS,watertable,4,Proklameerdrift,30,Seed Co,SC549,2,7.7952,,0,1,0
2018,FS,watertable,4,Proklameerdrift,30,Seed Co,SC549,3,6.0773,,0,1,0
2018,FS,watertable,5,Viljoenskroon,30,Seed Co,SC549,1,5.3597,,0,1,0
2018,FS,watertable,5,Viljoenskroon,30,Seed Co,SC549,2,5.3589,,0,1,0
2018,FS,watertable,5,Viljoenskroon,30,Seed Co,SC549,3,5.6567,,0,1,0
2018,FS,watertable,6,Wesselsbron,30,Seed Co,SC549,1,7.7931,,0,1,0
2018,FS,watertable,7,Wesselsbron,30,Seed Co,SC549,1,7.9398,,0,1,0
2018,FS,watertable,6,Wesselsbron,30,Seed Co,SC549,2,6.9104,,0,1,0
2018,FS,watertable,7,Wesselsbron,30,Seed Co,SC549,2,6.1131,,0,1,0
2018,FS,watertable,6,Wesselsbron,30,Seed Co,SC549,3,7.1891,,0,1,0
2018,FS,watertable,7,Wesselsbron,30,Seed Co,SC549,3,4.785,,0,1,0
2018,KZN,KZN,1,Bergville,33,Seed Co,SC549,1,9.865415778,,0,1,0
2018,KZN,KZN,1,Bergville,33,Seed Co,SC549,2,9.578507463,,0,1,0
2018,KZN,KZN,1,Bergville,33,Seed Co,SC549,3,8.855334755,,0,1,0
2018,KZN,KZN,2,Cedara,33,Seed Co,SC549,1,7.343979683,,0,1,0
2018,KZN,KZN,2,Cedara,33,Seed Co,SC549,2,7.761615238,,0,1,0
2018,KZN,KZN,2,Cedara,33,Seed Co,SC549,3,6.854697143,,0,1,0
2018,KZN,KZN,3,Greytown,33,Seed Co,SC549,1,8.279414966,,0,1,0
2018,KZN,KZN,3,Greytown,33,Seed Co,SC549,2,8.537657771,,0,1,0
2018,KZN,KZN,3,Greytown,33,Seed Co,SC549,3,8.210737834,,0,1,0
2018,KZN,KZN,4,Kokstad,33,Seed Co,SC549,1,7.506608947,,0,1,0
2018,KZN,KZN,4,Kokstad,33,Seed Co,SC549,2,9.245922078,,0,1,0
2018,KZN,KZN,4,Kokstad,33,Seed Co,SC549,3,10.17309091,,0,1,0
2018,KZN,KZN,5,Mooirivier,33,Seed Co,SC549,1,11.11980382,,0,1,0
