Year,Provence,Region,locality_no,locality,cultivar_no,breeder,cultivar_name,Rep,yield,temp,Yellow,White,Irrigated
2014,GP,east,,Babsfontein,1,LinkSeed,LS8518,1,10.57173333,,1,0,0
2014,GP,east,,Babsfontein,1,LinkSeed,LS8518,3,10.83977143,,1,0,0
2014,GP,east,,Babsfontein,1,LinkSeed,LS8518,2,11.09564675,,1,0,0
2014,KZN,east,,Bergville,1,LinkSeed,LS8518,2,3.788576555,,1,0,0
2014,KZN,east,,Bergville,1,LinkSeed,LS8518,3,6.069078947,,1,0,0
2014,KZN,east,,Bergville,1,LinkSeed,LS8518,1,6.738516746,,1,0,0
2014,FS,east,,Bethlehem,1,LinkSeed,LS8518,3,10.10742857,,1,0,0
2014,FS,east,,Bethlehem,1,LinkSeed,LS8518,2,10.5168,,1,0,0
2014,FS,east,,Bethlehem,1,LinkSeed,LS8518,1,12.44053333,,1,0,0
2014,FS,east,,Bethlehem,1,LinkSeed,LS8518,3,5.176870748,,1,0,0
2014,FS,east,,Bethlehem,1,LinkSeed,LS8518,2,6.425745683,,1,0,0
2014,FS,east,,Bethlehem,1,LinkSeed,LS8518,1,6.47032967,,1,0,0
2014,GP,east,,Bloekomspruit,1,LinkSeed,LS8518,2,8.336598435,,1,0,0
2014,GP,east,,Bloekomspruit,1,LinkSeed,LS8518,1,8.682079091,,1,0,0
2014,GP,east,,Bloekomspruit,1,LinkSeed,LS8518,3,9.027559747,,1,0,0
2014,MP,east,,Carolina,1,LinkSeed,LS8518,2,6.50958478,,1,0,0
2014,MP,east,,Carolina,1,LinkSeed,LS8518,3,6.831045756,,1,0,0
2014,MP,east,,Carolina,1,LinkSeed,LS8518,1,7.554332954,,1,0,0
2014,MP,east,,Delmas,1,LinkSeed,LS8518,3,9.33395671,,1,0,0
2014,MP,east,,Delmas,1,LinkSeed,LS8518,2,11.60338932,,1,0,0
2014,MP,east,,Delmas,1,LinkSeed,LS8518,1,13.20480346,,1,0,0
2014,MP,east,,Delmas,1,LinkSeed,LS8518,2,10.76268777,,1,0,0
2014,MP,east,,Delmas,1,LinkSeed,LS8518,1,11.54860411,,1,0,0
2014,MP,east,,Delmas,1,LinkSeed,LS8518,3,14.01550821,,1,0,0
2014,GP,east,,Devon,1,LinkSeed,LS8518,1,3.883550296,,1,0,0
2014,GP,east,,Devon,1,LinkSeed,LS8518,3,4.20057481,,1,0,0
2014,GP,east,,Devon,1,LinkSeed,LS8518,2,6.81602705,,1,0,0
2014,GP,east,,Devon,1,LinkSeed,LS8518,1,7.44,,1,0,0
2014,GP,east,,Devon,1,LinkSeed,LS8518,2,7.73,,1,0,0
2014,GP,east,,Devon,1,LinkSeed,LS8518,3,8.05,,1,0,0
2014,MP,east,,Ermelo,1,LinkSeed,LS8518,1,9.240699708,,1,0,0
2014,MP,east,,Ermelo,1,LinkSeed,LS8518,3,10.58336548,,1,0,0
2014,MP,east,,Ermelo,1,LinkSeed,LS8518,2,10.74132616,,1,0,0
2014,MP,east,,Ermelo,1,LinkSeed,LS8518,1,6.979591837,,1,0,0
2014,MP,east,,Ermelo,1,LinkSeed,LS8518,3,8.039769754,,1,0,0
2014,MP,east,,Ermelo,1,LinkSeed,LS8518,2,8.198430141,,1,0,0
2014,KZN,east,,Greytown,1,LinkSeed,LS8518,2,8.646721985,,1,0,0
2014,KZN,east,,Greytown,1,LinkSeed,LS8518,3,9.462450475,,1,0,0
2014,KZN,east,,Greytown,1,LinkSeed,LS8518,1,10.52289751,,1,0,0
2014,KZN,east,,Greytown,1,LinkSeed,LS8518,1,10.12197539,,1,0,0
2014,KZN,east,,Greytown,1,LinkSeed,LS8518,2,10.94938483,,1,0,0
2014,KZN,east,,Greytown,1,LinkSeed,LS8518,3,11.74921394,,1,0,0
2014,MP,east,,Hendrina,1,LinkSeed,LS8518,1,6.999476714,,1,0,0
2014,MP,east,,Hendrina,1,LinkSeed,LS8518,3,7.4,,1,0,0
2014,MP,east,,Hendrina,1,LinkSeed,LS8518,2,10.04458399,,1,0,0
2014,MP,east,,Kinross,1,LinkSeed,LS8518,2,7.291767224,,1,0,0
2014,MP,east,,Kinross,1,LinkSeed,LS8518,1,9.431742387,,1,0,0
2014,MP,east,,Kinross,1,LinkSeed,LS8518,3,10.38284246,,1,0,0
2014,MP,east,,Middelburg,1,LinkSeed,LS8518,3,5.800880383,,1,0,0
2014,MP,east,,Middelburg,1,LinkSeed,LS8518,2,9.176090226,,1,0,0
2014,MP,east,,Middelburg,1,LinkSeed,LS8518,1,11.38407382,,1,0,0
2014,KZN,east,,Mooirivier,1,LinkSeed,LS8518,1,9.430207553,,1,0,0
2014,KZN,east,,Mooirivier,1,LinkSeed,LS8518,2,10.38382405,,1,0,0
2014,KZN,east,,Mooirivier,1,LinkSeed,LS8518,3,10.8076536,,1,0,0
2014,MP,east,,Ogies,1,LinkSeed,LS8518,2,11.65426331,,1,0,0
2014,MP,east,,Ogies,1,LinkSeed,LS8518,1,12.14917423,,1,0,0
2014,MP,east,,Ogies,1,LinkSeed,LS8518,3,12.79031111,,1,0,0
2014,GP,east,,Petit,1,LinkSeed,LS8518,2,9.405234734,,1,0,0
